date,variant,signups,dau,wau,mau,dau_mau_ratio,sessions,avg_session_duration_sec,sessions_per_active_user,lessons_completed,lessons_per_active_user,xp_earned,xp_per_active_user,premium_users,premium_share
2025-01-01,control,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,False,0.0
2025-01-01,treatment,1,1.0,1.0,1.0,1.0,2,915.0,2.0,1,1.0,25,25.0,False,0.0
2025-01-02,control,1,1.0,1.0,1.0,1.0,3,467.5,3.0,2,2.0,38,38.0,0,0.0
2025-01-02,treatment,1,1.0,1.0,1.0,1.0,2,164.5,2.0,1,1.0,23,23.0,0,0.0
2025-01-03,control,1,3.0,3.0,3.0,1.0,4,506.6666666666667,1.3333333333333333,4,1.3333333333333333,93,31.0,0,0.0
2025-01-03,treatment,1,2.0,2.0,2.0,1.0,2,360.0,1.0,2,1.0,46,23.0,0,0.0
2025-01-04,control,1,4.0,4.0,4.0,1.0,7,975.25,1.75,6,1.5,100,25.0,0,0.0
2025-01-04,treatment,1,2.0,3.0,3.0,0.6666666666666666,4,526.0,2.0,2,1.0,35,17.5,1,0.5
2025-01-05,control,1,3.0,4.0,4.0,0.75,4,584.0,1.3333333333333333,2,0.6666666666666666,42,14.0,0,0.0
2025-01-05,treatment,1,3.0,4.0,4.0,0.75,5,378.8,1.6666666666666667,3,1.0,62,20.666666666666668,1,0.3333333333333333
2025-01-06,control,1,4.0,5.0,5.0,0.8,5,344.6666666666667,1.25,4,1.0,91,22.75,0,0.0
2025-01-06,treatment,1,4.0,5.0,5.0,0.8,5,478.5,1.25,3,0.75,61,15.25,1,0.25
2025-01-07,control,1,2.0,6.0,6.0,0.3333333333333333,2,170.42857142857142,1.0,0,0.0,0,0.0,0,0.0
2025-01-07,treatment,1,3.0,6.0,6.0,0.5,5,419.42857142857144,1.6666666666666667,4,1.3333333333333333,86,28.666666666666668,1,0.3333333333333333
2025-01-08,control,1,3.0,7.0,7.0,0.42857142857142855,6,531.5,2.0,4,1.3333333333333333,82,27.333333333333332,0,0.0
2025-01-08,treatment,1,3.0,6.0,6.0,0.5,3,182.625,1.0,2,0.6666666666666666,43,14.333333333333334,1,0.3333333333333333
2025-01-09,control,1,2.0,7.0,7.0,0.2857142857142857,2,68.44444444444444,1.0,1,0.5,25,12.5,0,0.0
2025-01-09,treatment,1,2.0,6.0,6.0,0.3333333333333333,3,187.88888888888889,1.5,2,1.0,41,20.5,1,0.5
2025-01-10,control,1,4.0,9.0,9.0,0.4444444444444444,5,192.5,1.25,4,1.0,86,21.5,0,0.0
2025-01-10,treatment,1,4.0,8.0,8.0,0.5,8,482.4,2.0,2,0.5,41,10.25,1,0.25
2025-01-11,control,1,2.0,8.0,9.0,0.2222222222222222,2,128.45454545454547,1.0,1,0.5,21,10.5,0,0.0
2025-01-11,treatment,1,3.0,7.0,8.0,0.375,4,231.36363636363637,1.3333333333333333,2,0.6666666666666666,36,12.0,1,0.3333333333333333
2025-01-12,control,1,3.0,10.0,11.0,0.2727272727272727,4,136.83333333333334,1.3333333333333333,1,0.3333333333333333,19,6.333333333333333,0,0.0
2025-01-12,treatment,1,3.0,8.0,9.0,0.3333333333333333,3,117.25,1.0,2,0.6666666666666666,42,14.0,1,0.3333333333333333
2025-01-13,control,1,4.0,9.0,11.0,0.36363636363636365,5,283.0,1.25,4,1.0,76,19.0,1,0.25
2025-01-13,treatment,1,5.0,7.0,10.0,0.5,5,219.76923076923077,1.0,3,0.6,66,13.2,1,0.2
2025-01-14,control,1,4.0,11.0,13.0,0.3076923076923077,6,219.5,1.5,3,0.75,62,15.5,1,0.25
2025-01-14,treatment,1,2.0,8.0,11.0,0.18181818181818182,2,97.42857142857143,1.0,2,1.0,44,22.0,1,0.5
2025-01-15,control,1,4.0,12.0,14.0,0.2857142857142857,6,184.66666666666666,1.5,3,0.75,65,16.25,1,0.25
2025-01-15,treatment,1,2.0,9.0,12.0,0.16666666666666666,3,105.0,1.5,0,0.0,0,0.0,1,0.5
