date,state,variant,users
2025-01-01,New,control,1
2025-01-01,New,treatment,1
2025-01-02,Current,treatment,1
2025-01-02,New,control,1
2025-01-02,New,treatment,1
2025-01-02,Resurrected,control,1
2025-01-03,Current,control,1
2025-01-03,Current,treatment,1
2025-01-03,Dormant,treatment,1
2025-01-03,New,control,1
2025-01-03,New,treatment,1
2025-01-03,Resurrected,control,1
2025-01-04,AtRiskWAU,treatment,1
2025-01-04,Current,control,3
2025-01-04,Current,treatment,1
2025-01-04,Dormant,treatment,1
2025-01-04,New,control,1
2025-01-04,New,treatment,1
2025-01-05,AtRiskWAU,control,1
2025-01-05,AtRiskWAU,treatment,1
2025-01-05,Current,control,3
2025-01-05,Current,treatment,2
2025-01-05,New,control,1
2025-01-05,New,treatment,1
2025-01-05,Resurrected,treatment,1
2025-01-06,AtRiskWAU,control,1
2025-01-06,AtRiskWAU,treatment,1
2025-01-06,Current,control,3
2025-01-06,Current,treatment,3
2025-01-06,Dormant,control,1
2025-01-06,Dormant,treatment,1
2025-01-06,New,control,1
2025-01-06,New,treatment,1
2025-01-07,AtRiskWAU,control,4
2025-01-07,AtRiskWAU,treatment,3
2025-01-07,Current,control,1
2025-01-07,Current,treatment,2
2025-01-07,Dormant,control,1
2025-01-07,New,control,1
2025-01-07,New,treatment,1
2025-01-07,Resurrected,treatment,1
2025-01-08,AtRiskWAU,control,4
2025-01-08,AtRiskWAU,treatment,3
2025-01-08,Current,control,2
2025-01-08,Current,treatment,3
2025-01-08,Dormant,control,1
2025-01-08,Dormant,treatment,1
2025-01-08,New,control,1
2025-01-08,New,treatment,1
2025-01-09,AtRiskWAU,control,5
2025-01-09,AtRiskWAU,treatment,4
2025-01-09,Current,control,2
2025-01-09,Current,treatment,2
2025-01-09,Dormant,control,1
2025-01-09,Dormant,treatment,2
2025-01-09,New,control,1
2025-01-09,New,treatment,1
2025-01-10,AtRiskWAU,control,5
2025-01-10,AtRiskWAU,treatment,4
2025-01-10,Current,control,2
2025-01-10,Current,treatment,2
2025-01-10,Dormant,control,1
2025-01-10,Dormant,treatment,1
2025-01-10,New,control,1
2025-01-10,New,treatment,1
2025-01-10,Resurrected,control,1
2025-01-10,Resurrected,treatment,2
2025-01-11,AtRiskMAU,control,1
2025-01-11,AtRiskMAU,treatment,1
2025-01-11,AtRiskWAU,control,6
2025-01-11,AtRiskWAU,treatment,4
2025-01-11,Current,control,2
2025-01-11,Current,treatment,3
2025-01-11,Dormant,control,1
2025-01-11,Dormant,treatment,2
2025-01-11,New,control,1
2025-01-11,New,treatment,1
2025-01-12,AtRiskMAU,control,1
2025-01-12,AtRiskMAU,treatment,1
2025-01-12,AtRiskWAU,control,7
2025-01-12,AtRiskWAU,treatment,5
2025-01-12,Current,control,1
2025-01-12,Current,treatment,2
2025-01-12,Dormant,control,1
2025-01-12,Dormant,treatment,3
2025-01-12,New,control,1
2025-01-12,New,treatment,1
2025-01-12,Resurrected,control,1
2025-01-13,AtRiskMAU,control,2
2025-01-13,AtRiskMAU,treatment,3
2025-01-13,AtRiskWAU,control,5
2025-01-13,AtRiskWAU,treatment,2
2025-01-13,Current,control,4
2025-01-13,Current,treatment,4
2025-01-13,Dormant,control,1
2025-01-13,Dormant,treatment,3
2025-01-13,New,control,1
2025-01-13,New,treatment,1
2025-01-14,AtRiskMAU,control,2
2025-01-14,AtRiskMAU,treatment,3
2025-01-14,AtRiskWAU,control,7
2025-01-14,AtRiskWAU,treatment,6
2025-01-14,Current,control,2
2025-01-14,Current,treatment,1
2025-01-14,Dormant,control,1
2025-01-14,Dormant,treatment,3
2025-01-14,New,control,1
2025-01-14,New,treatment,1
2025-01-14,Resurrected,control,1
2025-01-15,AtRiskMAU,control,2
2025-01-15,AtRiskMAU,treatment,3
2025-01-15,AtRiskWAU,control,8
2025-01-15,AtRiskWAU,treatment,7
2025-01-15,Current,control,3
2025-01-15,Current,treatment,1
2025-01-15,Dormant,control,1
2025-01-15,Dormant,treatment,3
2025-01-15,New,control,1
2025-01-15,New,treatment,1
2025-01-16,AtRiskMAU,control,2
2025-01-16,AtRiskMAU,treatment,3
2025-01-16,AtRiskWAU,control,9
2025-01-16,AtRiskWAU,treatment,5
2025-01-16,Current,control,3
2025-01-16,Current,treatment,4
2025-01-16,Dormant,control,1
2025-01-16,Dormant,treatment,1
2025-01-16,New,control,1
2025-01-16,New,treatment,1
2025-01-16,Resurrected,treatment,2
2025-01-17,AtRiskMAU,control,3
2025-01-17,AtRiskMAU,treatment,3
2025-01-17,AtRiskWAU,control,5
2025-01-17,AtRiskWAU,treatment,9
2025-01-17,Current,control,6
2025-01-17,Current,treatment,3
2025-01-17,Dormant,control,2
2025-01-17,Dormant,treatment,1
2025-01-17,New,control,1
2025-01-17,New,treatment,1
2025-01-18,AtRiskMAU,control,4
2025-01-18,AtRiskMAU,treatment,3
2025-01-18,AtRiskWAU,control,6
2025-01-18,AtRiskWAU,treatment,9
2025-01-18,Current,control,4
2025-01-18,Current,treatment,4
2025-01-18,Dormant,control,3
2025-01-18,Dormant,treatment,1
2025-01-18,New,control,1
2025-01-18,New,treatment,1
2025-01-19,AtRiskMAU,control,4
2025-01-19,AtRiskMAU,treatment,2
2025-01-19,AtRiskWAU,control,8
2025-01-19,AtRiskWAU,treatment,10
2025-01-19,Current,control,3
2025-01-19,Current,treatment,3
2025-01-19,Dormant,control,2
2025-01-19,Dormant,treatment,2
2025-01-19,New,control,1
2025-01-19,New,treatment,1
2025-01-19,Reactivated,treatment,1
2025-01-19,Resurrected,control,1
2025-01-20,AtRiskMAU,control,4
2025-01-20,AtRiskMAU,treatment,4
2025-01-20,AtRiskWAU,control,10
2025-01-20,AtRiskWAU,treatment,11
2025-01-20,Current,control,3
2025-01-20,Current,treatment,1
2025-01-20,Dormant,control,2
2025-01-20,Dormant,treatment,3
2025-01-20,New,control,1
2025-01-20,New,treatment,1
2025-01-21,AtRiskMAU,control,6
2025-01-21,AtRiskMAU,treatment,5
2025-01-21,AtRiskWAU,control,6
2025-01-21,AtRiskWAU,treatment,8
2025-01-21,Current,control,5
2025-01-21,Current,treatment,3
2025-01-21,Dormant,control,3
2025-01-21,Dormant,treatment,4
2025-01-21,New,control,1
2025-01-21,New,treatment,1
2025-01-22,AtRiskMAU,control,8
2025-01-22,AtRiskMAU,treatment,6
2025-01-22,AtRiskWAU,control,4
2025-01-22,AtRiskWAU,treatment,8
2025-01-22,Current,control,5
2025-01-22,Current,treatment,3
2025-01-22,Dormant,control,2
2025-01-22,Dormant,treatment,4
2025-01-22,New,control,1
2025-01-22,New,treatment,1
2025-01-22,Resurrected,control,2
2025-01-23,AtRiskMAU,control,8
2025-01-23,AtRiskMAU,treatment,7
2025-01-23,AtRiskWAU,control,7
2025-01-23,AtRiskWAU,treatment,6
2025-01-23,Current,control,4
2025-01-23,Current,treatment,5
2025-01-23,Dormant,control,2
2025-01-23,Dormant,treatment,3
2025-01-23,New,control,1
2025-01-23,New,treatment,1
2025-01-23,Resurrected,control,1
2025-01-23,Resurrected,treatment,1
2025-01-24,AtRiskMAU,control,8
2025-01-24,AtRiskMAU,treatment,7
2025-01-24,AtRiskWAU,control,7
2025-01-24,AtRiskWAU,treatment,7
2025-01-24,Current,control,5
2025-01-24,Current,treatment,6
2025-01-24,Dormant,control,2
2025-01-24,Dormant,treatment,3
2025-01-24,New,control,1
2025-01-24,New,treatment,1
2025-01-24,Reactivated,control,1
2025-01-25,AtRiskMAU,control,8
2025-01-25,AtRiskMAU,treatment,10
2025-01-25,AtRiskWAU,control,8
2025-01-25,AtRiskWAU,treatment,9
2025-01-25,Current,control,5
2025-01-25,Current,treatment,2
2025-01-25,Dormant,control,3
2025-01-25,Dormant,treatment,2
2025-01-25,New,control,1
2025-01-25,New,treatment,1
2025-01-25,Resurrected,treatment,1
2025-01-26,AtRiskMAU,control,7
2025-01-26,AtRiskMAU,treatment,10
2025-01-26,AtRiskWAU,control,10
2025-01-26,AtRiskWAU,treatment,10
2025-01-26,Current,control,3
2025-01-26,Current,treatment,2
2025-01-26,Dormant,control,3
2025-01-26,Dormant,treatment,3
2025-01-26,New,control,1
2025-01-26,New,treatment,1
2025-01-26,Reactivated,control,2
2025-01-27,AtRiskMAU,control,6
2025-01-27,AtRiskMAU,treatment,9
2025-01-27,AtRiskWAU,control,12
2025-01-27,AtRiskWAU,treatment,9
2025-01-27,Current,control,3
2025-01-27,Current,treatment,4
2025-01-27,Dormant,control,3
2025-01-27,Dormant,treatment,3
2025-01-27,New,control,1
2025-01-27,New,treatment,1
2025-01-27,Reactivated,control,1
2025-01-27,Reactivated,treatment,1
2025-01-27,Resurrected,control,1
2025-01-28,AtRiskMAU,control,7
2025-01-28,AtRiskMAU,treatment,8
2025-01-28,AtRiskWAU,control,14
2025-01-28,AtRiskWAU,treatment,12
2025-01-28,Current,control,3
2025-01-28,Current,treatment,2
2025-01-28,Dormant,control,3
2025-01-28,Dormant,treatment,3
2025-01-28,New,control,1
2025-01-28,New,treatment,1
2025-01-28,Reactivated,treatment,1
2025-01-28,Resurrected,treatment,1
2025-01-29,AtRiskMAU,control,9
2025-01-29,AtRiskMAU,treatment,9
2025-01-29,AtRiskWAU,control,7
2025-01-29,AtRiskWAU,treatment,8
2025-01-29,Current,control,8
2025-01-29,Current,treatment,8
2025-01-29,Dormant,control,3
2025-01-29,Dormant,treatment,2
2025-01-29,New,control,1
2025-01-29,New,treatment,1
2025-01-29,Resurrected,control,1
2025-01-29,Resurrected,treatment,1
2025-01-30,AtRiskMAU,control,7
2025-01-30,AtRiskMAU,treatment,9
2025-01-30,AtRiskWAU,control,6
2025-01-30,AtRiskWAU,treatment,10
2025-01-30,Current,control,9
2025-01-30,Current,treatment,6
2025-01-30,Dormant,control,2
2025-01-30,Dormant,treatment,3
2025-01-30,New,control,1
2025-01-30,New,treatment,1
2025-01-30,Reactivated,control,3
2025-01-30,Reactivated,treatment,1
2025-01-30,Resurrected,control,2
2025-01-31,AtRiskMAU,control,7
2025-01-31,AtRiskMAU,treatment,11
2025-01-31,AtRiskWAU,control,10
2025-01-31,AtRiskWAU,treatment,9
2025-01-31,Current,control,10
2025-01-31,Current,treatment,6
2025-01-31,Dormant,control,2
2025-01-31,Dormant,treatment,3
2025-01-31,New,control,1
2025-01-31,New,treatment,1
2025-01-31,Reactivated,control,1
2025-01-31,Reactivated,treatment,1
