event_date,app_open,lesson_completed,lesson_started
2025-01-01,16,11,12
2025-01-02,24,18,20
2025-01-03,38,24,28
2025-01-04,43,24,31
2025-01-05,58,36,43
2025-01-06,50,33,38
2025-01-07,58,45,48
2025-01-08,61,45,54
2025-01-09,72,47,54
2025-01-10,82,52,59
2025-01-11,87,49,61
2025-01-12,105,69,83
2025-01-13,96,72,81
2025-01-14,125,79,102
2025-01-15,109,65,76
2025-01-16,123,75,92
2025-01-17,112,76,85
2025-01-18,119,80,91
2025-01-19,129,71,91
2025-01-20,95,65,73
2025-01-21,149,108,120
2025-01-22,138,98,110
2025-01-23,160,104,117
2025-01-24,166,107,128
2025-01-25,158,111,120
2025-01-26,143,100,114
2025-01-27,152,94,110
2025-01-28,162,118,133
2025-01-29,172,106,125
2025-01-30,205,144,166
2025-01-31,197,125,147
2025-02-01,184,132,150
2025-02-02,184,123,143
2025-02-03,196,128,148
2025-02-04,181,137,156
2025-02-05,159,112,130
2025-02-06,217,152,172
2025-02-07,194,127,144
2025-02-08,212,148,171
2025-02-09,202,140,156
2025-02-10,189,119,139
2025-02-11,200,112,145
2025-02-12,211,146,163
2025-02-13,217,143,170
2025-02-14,251,167,193
2025-02-15,262,187,205
2025-02-16,205,138,167
2025-02-17,216,149,174
2025-02-18,245,156,189
2025-02-19,229,147,180
2025-02-20,274,192,226
2025-02-21,272,181,205
2025-02-22,254,171,196
2025-02-23,268,189,213
2025-02-24,262,185,214
2025-02-25,288,196,224
2025-02-26,291,193,230
2025-02-27,323,213,257
2025-02-28,289,197,220
2025-03-01,310,207,241
2025-03-02,306,220,247
2025-03-03,304,201,235
2025-03-04,299,188,221
2025-03-05,277,185,213
2025-03-06,326,217,255
2025-03-07,295,180,221
2025-03-08,306,205,238
2025-03-09,306,215,252
2025-03-10,282,198,221
2025-03-11,318,217,258
2025-03-12,332,202,235
2025-03-13,386,256,301
2025-03-14,360,249,294
2025-03-15,391,258,306
2025-03-16,397,275,313
2025-03-17,337,226,265
2025-03-18,361,240,284
2025-03-19,393,262,303
2025-03-20,412,265,310
2025-03-21,409,293,338
2025-03-22,380,265,300
2025-03-23,425,294,336
2025-03-24,425,282,324
2025-03-25,453,312,352
2025-03-26,447,296,346
2025-03-27,456,307,358
2025-03-28,514,354,413
2025-03-29,515,322,398
2025-03-30,496,320,375
2025-03-31,480,341,391
2025-04-01,501,322,379
2025-04-02,535,345,401
2025-04-03,545,354,418
2025-04-04,530,352,418
2025-04-05,536,358,401
2025-04-06,531,362,420
